"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","03.01.2025 22:00 - 03.01.2025 23:00 (CET/CEST)","476","n/e","n/e","n/e","52","156","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","920","302"
"BZN|DK2","03.01.2025 23:00 - 04.01.2025 00:00 (CET/CEST)","479","n/e","n/e","n/e","44","143","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","855","253"
"BZN|DK2","04.01.2025 00:00 - 04.01.2025 01:00 (CET/CEST)","482","n/e","n/e","n/e","46","144","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","819","199"
"BZN|DK2","04.01.2025 01:00 - 04.01.2025 02:00 (CET/CEST)","508","n/e","n/e","n/e","62","156","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","764","120"
"BZN|DK2","04.01.2025 02:00 - 04.01.2025 03:00 (CET/CEST)","508","n/e","n/e","n/e","68","174","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","581","77"
"BZN|DK2","04.01.2025 03:00 - 04.01.2025 04:00 (CET/CEST)","512","n/e","n/e","n/e","78","196","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","315","45"
"BZN|DK2","04.01.2025 04:00 - 04.01.2025 05:00 (CET/CEST)","509","n/e","n/e","n/e","84","206","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","133","25"
"BZN|DK2","04.01.2025 05:00 - 04.01.2025 06:00 (CET/CEST)","510","n/e","n/e","n/e","82","201","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","38","31"
"BZN|DK2","04.01.2025 06:00 - 04.01.2025 07:00 (CET/CEST)","508","n/e","n/e","n/e","94","221","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","17","47"
"BZN|DK2","04.01.2025 07:00 - 04.01.2025 08:00 (CET/CEST)","506","n/e","n/e","n/e","98","229","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","115","81"
"BZN|DK2","04.01.2025 08:00 - 04.01.2025 09:00 (CET/CEST)","503","n/e","n/e","n/e","104","230","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","51","221","128"
"BZN|DK2","04.01.2025 09:00 - 04.01.2025 10:00 (CET/CEST)","509","n/e","n/e","n/e","108","233","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","56","389","162"
"BZN|DK2","04.01.2025 10:00 - 04.01.2025 11:00 (CET/CEST)","509","n/e","n/e","n/e","127","234","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","102","52","528","174"
"BZN|DK2","04.01.2025 11:00 - 04.01.2025 12:00 (CET/CEST)","509","n/e","n/e","n/e","141","233","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","127","51","561","232"
"BZN|DK2","04.01.2025 12:00 - 04.01.2025 13:00 (CET/CEST)","510","n/e","n/e","n/e","139","226","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","128","51","670","247"
"BZN|DK2","04.01.2025 13:00 - 04.01.2025 14:00 (CET/CEST)","509","n/e","n/e","n/e","131","213","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","50","702","259"
"BZN|DK2","04.01.2025 14:00 - 04.01.2025 15:00 (CET/CEST)","511","n/e","n/e","n/e","131","213","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","48","677","272"
"BZN|DK2","04.01.2025 15:00 - 04.01.2025 16:00 (CET/CEST)","510","n/e","n/e","n/e","133","216","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","48","793","273"
"BZN|DK2","04.01.2025 16:00 - 04.01.2025 17:00 (CET/CEST)","511","n/e","n/e","n/e","143","232","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","801","242"
"BZN|DK2","04.01.2025 17:00 - 04.01.2025 18:00 (CET/CEST)","507","n/e","n/e","n/e","144","234","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","792","226"
"BZN|DK2","04.01.2025 18:00 - 04.01.2025 19:00 (CET/CEST)","503","n/e","n/e","n/e","148","235","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","763","198"
"BZN|DK2","04.01.2025 19:00 - 04.01.2025 20:00 (CET/CEST)","505","n/e","n/e","n/e","155","235","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","707","186"
"BZN|DK2","04.01.2025 20:00 - 04.01.2025 21:00 (CET/CEST)","510","n/e","n/e","n/e","144","234","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","617","149"
"BZN|DK2","04.01.2025 21:00 - 04.01.2025 22:00 (CET/CEST)","513","n/e","n/e","n/e","110","233","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","52","683","127"
"BZN|DK2","04.01.2025 22:00 - 04.01.2025 23:00 (CET/CEST)","513","n/e","n/e","n/e","99","231","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","609","172"
"BZN|DK2","04.01.2025 23:00 - 05.01.2025 00:00 (CET/CEST)","512","n/e","n/e","n/e","98","232","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","530","179"
"BZN|DK2","05.01.2025 00:00 - 05.01.2025 01:00 (CET/CEST)","510","n/e","n/e","n/e","96","228","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","444","145"
"BZN|DK2","05.01.2025 01:00 - 05.01.2025 02:00 (CET/CEST)","510","n/e","n/e","n/e","96","228","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","272","109"
"BZN|DK2","05.01.2025 02:00 - 05.01.2025 03:00 (CET/CEST)","509","n/e","n/e","n/e","85","210","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","206","63"
"BZN|DK2","05.01.2025 03:00 - 05.01.2025 04:00 (CET/CEST)","512","n/e","n/e","n/e","88","209","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","149","42"
"BZN|DK2","05.01.2025 04:00 - 05.01.2025 05:00 (CET/CEST)","509","n/e","n/e","n/e","100","217","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","83","36"
"BZN|DK2","05.01.2025 05:00 - 05.01.2025 06:00 (CET/CEST)","507","n/e","n/e","n/e","104","216","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","86","30"
"BZN|DK2","05.01.2025 06:00 - 05.01.2025 07:00 (CET/CEST)","512","n/e","n/e","n/e","97","211","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","57","29"
"BZN|DK2","05.01.2025 07:00 - 05.01.2025 08:00 (CET/CEST)","511","n/e","n/e","n/e","96","210","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","60","31"
"BZN|DK2","05.01.2025 08:00 - 05.01.2025 09:00 (CET/CEST)","510","n/e","n/e","n/e","86","210","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","103","48"
"BZN|DK2","05.01.2025 09:00 - 05.01.2025 10:00 (CET/CEST)","510","n/e","n/e","n/e","94","210","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","47","259","84"
"BZN|DK2","05.01.2025 10:00 - 05.01.2025 11:00 (CET/CEST)","511","n/e","n/e","n/e","93","221","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","48","370","121"
"BZN|DK2","05.01.2025 11:00 - 05.01.2025 12:00 (CET/CEST)","514","n/e","n/e","n/e","105","227","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","49","313","119"
"BZN|DK2","05.01.2025 12:00 - 05.01.2025 13:00 (CET/CEST)","514","n/e","n/e","n/e","105","233","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","54","342","121"
