"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"05.01.2023 01:00 - 05.01.2023 02:00","74.50","","","","74.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 02:00 - 05.01.2023 03:00","77.02","","","","77.02","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 03:00 - 05.01.2023 04:00","74.34","","","","74.34","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 04:00 - 05.01.2023 05:00","52.50","","","","52.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 05:00 - 05.01.2023 06:00","17.73","","","","17.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 06:00 - 05.01.2023 07:00","62.70","","","","62.70","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 07:00 - 05.01.2023 08:00","111.08","","","","111.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 08:00 - 05.01.2023 09:00","139.00","","","","139.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 09:00 - 05.01.2023 10:00","149.23","","","","149.23","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 10:00 - 05.01.2023 11:00","157.00","","","","157.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 11:00 - 05.01.2023 12:00","162.91","","","","162.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2023 12:00 - 05.01.2023 13:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
