"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - IBA|DK2","Generation / - Imbalance price [Currency/MWh] - IBA|DK2","Price for consumption [Currency/MWh] - IBA|DK2","Currency","Status","Total Imbalance [MWh] - IBA|DK2","Difference","Situation","Status"
"09.08.2023 02:00 - 09.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","259","","Deficit","Final"
"09.08.2023 03:00 - 09.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","109","","Deficit","Final"
"09.08.2023 04:00 - 09.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","123","","Deficit","Final"
"09.08.2023 05:00 - 09.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","4","","Surplus","Final"
"09.08.2023 06:00 - 09.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","231","","Deficit","Final"
"09.08.2023 07:00 - 09.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","33","","Deficit","Final"
"09.08.2023 08:00 - 09.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","272","","Surplus","Final"
"09.08.2023 09:00 - 09.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","307","","Surplus","Final"
"09.08.2023 10:00 - 09.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","89","","Surplus","Final"
"09.08.2023 11:00 - 09.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","247","","Deficit","Final"
"09.08.2023 12:00 - 09.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","217","","Deficit","Final"
"09.08.2023 13:00 - 09.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","64","","Deficit","Final"
"09.08.2023 14:00 - 09.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","35","","Surplus","Final"
"09.08.2023 15:00 - 09.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","103","","Surplus","Final"
"09.08.2023 16:00 - 09.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","50","","Deficit","Final"
"09.08.2023 17:00 - 09.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","30","","Surplus","Final"
"09.08.2023 18:00 - 09.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","8","","Surplus","Final"
"09.08.2023 19:00 - 09.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","38","","Surplus","Final"
"09.08.2023 20:00 - 09.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","178","","Deficit","Final"
"09.08.2023 21:00 - 09.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","657","","Deficit","Final"
"09.08.2023 22:00 - 09.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","738","","Deficit","Final"
"09.08.2023 23:00 - 10.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","532","","Deficit","Final"
"10.08.2023 00:00 - 10.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","44","","Deficit","Final"
"10.08.2023 01:00 - 10.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","4","","Deficit","Final"
"10.08.2023 02:00 - 10.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","33","","Deficit","Final"
"10.08.2023 03:00 - 10.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","39","","Deficit","Final"
"10.08.2023 04:00 - 10.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","2","","Deficit","Final"
"10.08.2023 05:00 - 10.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","89","","Deficit","Final"
"10.08.2023 06:00 - 10.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"10.08.2023 07:00 - 10.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"10.08.2023 08:00 - 10.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"10.08.2023 09:00 - 10.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","220","","Deficit","Final"
"10.08.2023 10:00 - 10.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","317","","Deficit","Final"
"10.08.2023 11:00 - 10.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","324","","Deficit","Final"
"10.08.2023 12:00 - 10.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","10","","Deficit","Final"
"10.08.2023 13:00 - 10.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","86","","Deficit","Final"
"10.08.2023 14:00 - 10.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","264","","Deficit","Final"
"10.08.2023 15:00 - 10.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","336","","Deficit","Final"
"10.08.2023 16:00 - 10.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","334","","Deficit","Final"
"10.08.2023 17:00 - 10.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","143","","Deficit","Final"
"10.08.2023 18:00 - 10.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","2","","Deficit","Final"
"10.08.2023 19:00 - 10.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","122","","Deficit","Final"
"10.08.2023 20:00 - 10.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","246","","Deficit","Final"
"10.08.2023 21:00 - 10.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","216","","Deficit","Final"
"10.08.2023 22:00 - 10.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","230","","Deficit","Final"
"10.08.2023 23:00 - 11.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","274","","Deficit","Final"
"11.08.2023 00:00 - 11.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","142","","Deficit","Final"
"11.08.2023 01:00 - 11.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","91","","Deficit","Final"
"11.08.2023 02:00 - 11.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","80","","Deficit","Final"
"11.08.2023 03:00 - 11.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","109","","Deficit","Final"
"11.08.2023 04:00 - 11.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","147","","Deficit","Final"
"11.08.2023 05:00 - 11.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","205","","Deficit","Final"
"11.08.2023 06:00 - 11.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","181","","Deficit","Final"
"11.08.2023 07:00 - 11.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","52","","Deficit","Final"
"11.08.2023 08:00 - 11.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","59","","Surplus","Final"
"11.08.2023 09:00 - 11.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","70","","Surplus","Final"
"11.08.2023 10:00 - 11.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","8","","Deficit","Final"
"11.08.2023 11:00 - 11.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","12","","Deficit","Final"
"11.08.2023 12:00 - 11.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","37","","Surplus","Final"
"11.08.2023 13:00 - 11.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","77","","Deficit","Final"
"11.08.2023 14:00 - 11.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","143","","Deficit","Final"
"11.08.2023 15:00 - 11.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","97","","Deficit","Final"
"11.08.2023 16:00 - 11.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","61","","Surplus","Final"
"11.08.2023 17:00 - 11.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","68","","Surplus","Final"
"11.08.2023 18:00 - 11.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","9","","Deficit","Final"
"11.08.2023 19:00 - 11.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","46","","Deficit","Final"
"11.08.2023 20:00 - 11.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","56","","Deficit","Final"
"11.08.2023 21:00 - 11.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","53","","Deficit","Final"
"11.08.2023 22:00 - 11.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","72","","Deficit","Final"
"11.08.2023 23:00 - 12.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","161","","Deficit","Final"
"12.08.2023 00:00 - 12.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","143","","Deficit","Final"
"12.08.2023 01:00 - 12.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","92","","Deficit","Final"
"12.08.2023 02:00 - 12.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","163","","Deficit","Final"
"12.08.2023 03:00 - 12.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","122","","Deficit","Final"
"12.08.2023 04:00 - 12.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","13","","Deficit","Final"
"12.08.2023 05:00 - 12.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","7","","Deficit","Final"
"12.08.2023 06:00 - 12.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","136","","Deficit","Final"
"12.08.2023 07:00 - 12.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","47","","Deficit","Final"
"12.08.2023 08:00 - 12.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","98","","Deficit","Final"
"12.08.2023 09:00 - 12.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","31","","Deficit","Final"
"12.08.2023 10:00 - 12.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","65","","Deficit","Final"
"12.08.2023 11:00 - 12.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","108","","Deficit","Final"
"12.08.2023 12:00 - 12.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","6","","Deficit","Final"
"12.08.2023 13:00 - 12.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","58","","Deficit","Final"
"12.08.2023 14:00 - 12.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","24","","Deficit","Final"
"12.08.2023 15:00 - 12.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","44","","Deficit","Final"
"12.08.2023 16:00 - 12.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","52","","Deficit","Final"
"12.08.2023 17:00 - 12.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","251","","Deficit","Final"
"12.08.2023 18:00 - 12.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","417","","Deficit","Final"
"12.08.2023 19:00 - 12.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","31","","Deficit","Final"
"12.08.2023 20:00 - 12.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","112","","Deficit","Final"
"12.08.2023 21:00 - 12.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","29","","Deficit","Final"
"12.08.2023 22:00 - 12.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","154","","Deficit","Final"
"12.08.2023 23:00 - 13.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","246","","Deficit","Final"
"13.08.2023 00:00 - 13.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","316","","Deficit","Final"
"13.08.2023 01:00 - 13.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","6","","Surplus","Final"
"13.08.2023 02:00 - 13.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","8","","Surplus","Final"
"13.08.2023 03:00 - 13.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","1","","Surplus","Final"
"13.08.2023 04:00 - 13.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","8","","Deficit","Final"
"13.08.2023 05:00 - 13.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","38","","Deficit","Final"
"13.08.2023 06:00 - 13.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","103","","Deficit","Final"
"13.08.2023 07:00 - 13.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","172","","Deficit","Final"
"13.08.2023 08:00 - 13.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","84","","Deficit","Final"
"13.08.2023 09:00 - 13.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","109","","Deficit","Final"
"13.08.2023 10:00 - 13.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","182","","Deficit","Final"
"13.08.2023 11:00 - 13.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","81","","Deficit","Final"
"13.08.2023 12:00 - 13.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","229","","Deficit","Final"
"13.08.2023 13:00 - 13.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","308","","Deficit","Final"
"13.08.2023 14:00 - 13.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","404","","Deficit","Final"
"13.08.2023 15:00 - 13.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","270","","Deficit","Final"
"13.08.2023 16:00 - 13.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","327","","Deficit","Final"
"13.08.2023 17:00 - 13.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","70","","Deficit","Final"
"13.08.2023 18:00 - 13.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","102","","Deficit","Final"
"13.08.2023 19:00 - 13.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","71","","Deficit","Final"
"13.08.2023 20:00 - 13.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","148","","Deficit","Final"
"13.08.2023 21:00 - 13.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","321","","Deficit","Final"
"13.08.2023 22:00 - 13.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","335","","Deficit","Final"
"13.08.2023 23:00 - 14.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","245","","Deficit","Final"
"14.08.2023 00:00 - 14.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","73","","Deficit","Final"
"14.08.2023 01:00 - 14.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","24","","Deficit","Final"
"14.08.2023 02:00 - 14.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","143","","Deficit","Final"
"14.08.2023 03:00 - 14.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","129","","Deficit","Final"
"14.08.2023 04:00 - 14.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","74","","Deficit","Final"
"14.08.2023 05:00 - 14.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","83","","Deficit","Final"
"14.08.2023 06:00 - 14.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","84","","Deficit","Final"
"14.08.2023 07:00 - 14.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","51","","Deficit","Final"
"14.08.2023 08:00 - 14.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","151","","Deficit","Final"
"14.08.2023 09:00 - 14.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","446","","Deficit","Final"
"14.08.2023 10:00 - 14.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","484","","Deficit","Final"
"14.08.2023 11:00 - 14.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","238","","Deficit","Final"
"14.08.2023 12:00 - 14.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","106","","Deficit","Final"
"14.08.2023 13:00 - 14.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","109","","Deficit","Final"
"14.08.2023 14:00 - 14.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","186","","Deficit","Final"
"14.08.2023 15:00 - 14.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","226","","Deficit","Final"
"14.08.2023 16:00 - 14.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","140","","Deficit","Final"
"14.08.2023 17:00 - 14.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","124","","Deficit","Final"
"14.08.2023 18:00 - 14.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","72","","Deficit","Final"
"14.08.2023 19:00 - 14.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","57","","Deficit","Final"
"14.08.2023 20:00 - 14.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","178","","Deficit","Final"
"14.08.2023 21:00 - 14.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","199","","Deficit","Final"
"14.08.2023 22:00 - 14.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","189","","Deficit","Final"
"14.08.2023 23:00 - 15.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","61","","Deficit","Final"
"15.08.2023 00:00 - 15.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","51","","Surplus","Final"
"15.08.2023 01:00 - 15.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","21","","Deficit","Final"
"15.08.2023 02:00 - 15.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","103","","Deficit","Final"
"15.08.2023 03:00 - 15.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","270","","Deficit","Final"
"15.08.2023 04:00 - 15.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","5","","Deficit","Final"
"15.08.2023 05:00 - 15.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","36","","Deficit","Final"
"15.08.2023 06:00 - 15.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","113","","Deficit","Final"
"15.08.2023 07:00 - 15.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","285","","Deficit","Final"
"15.08.2023 08:00 - 15.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","561","","Deficit","Final"
"15.08.2023 09:00 - 15.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","382","","Deficit","Final"
"15.08.2023 10:00 - 15.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","71","","Deficit","Final"
"15.08.2023 11:00 - 15.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","12","","Surplus","Final"
"15.08.2023 12:00 - 15.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","88","","Surplus","Final"
"15.08.2023 13:00 - 15.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","110","","Surplus","Final"
"15.08.2023 14:00 - 15.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","216","","Deficit","Final"
"15.08.2023 15:00 - 15.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","291","","Deficit","Final"
"15.08.2023 16:00 - 15.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","435","","Deficit","Final"
"15.08.2023 17:00 - 15.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","285","","Deficit","Final"
"15.08.2023 18:00 - 15.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","381","","Deficit","Final"
"15.08.2023 19:00 - 15.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","352","","Deficit","Final"
"15.08.2023 20:00 - 15.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","130","","Deficit","Final"
"15.08.2023 21:00 - 15.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","92","","Deficit","Final"
"15.08.2023 22:00 - 15.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","164","","Deficit","Final"
"15.08.2023 23:00 - 16.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","122","","Deficit","Final"
"16.08.2023 00:00 - 16.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","147","","Deficit","Final"
"16.08.2023 01:00 - 16.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","50","","Deficit","Final"
"16.08.2023 02:00 - 16.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","19","","Surplus","Final"
"16.08.2023 03:00 - 16.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","17","","Deficit","Final"
"16.08.2023 04:00 - 16.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","35","","Deficit","Final"
"16.08.2023 05:00 - 16.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"16.08.2023 06:00 - 16.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","11","","Surplus","Final"
"16.08.2023 07:00 - 16.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","121","","Deficit","Final"
"16.08.2023 08:00 - 16.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","121","","Deficit","Final"
"16.08.2023 09:00 - 16.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","105","","Deficit","Final"
"16.08.2023 10:00 - 16.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","49","","Deficit","Final"
"16.08.2023 11:00 - 16.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"16.08.2023 12:00 - 16.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"16.08.2023 13:00 - 16.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","97","","Deficit","Final"
"16.08.2023 14:00 - 16.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"16.08.2023 15:00 - 16.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","121","","Deficit","Final"
"16.08.2023 16:00 - 16.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","82","","Deficit","Final"
"16.08.2023 17:00 - 16.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","4","","Surplus","Final"
"16.08.2023 18:00 - 16.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","52","","Surplus","Final"
"16.08.2023 19:00 - 16.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","126","","Deficit","Final"
"16.08.2023 20:00 - 16.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","419","","Deficit","Final"
"16.08.2023 21:00 - 16.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","177","","Deficit","Final"
"16.08.2023 22:00 - 16.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","137","","Deficit","Final"
"16.08.2023 23:00 - 17.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"17.08.2023 00:00 - 17.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","19","","Deficit","Final"
"17.08.2023 01:00 - 17.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","7","","Surplus","Final"
"17.08.2023 02:00 - 17.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","38","","Deficit","Final"
"17.08.2023 03:00 - 17.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","74","","Deficit","Final"
"17.08.2023 04:00 - 17.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","62","","Deficit","Final"
"17.08.2023 05:00 - 17.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","82","","Deficit","Final"
"17.08.2023 06:00 - 17.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","142","","Deficit","Final"
"17.08.2023 07:00 - 17.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","216","","Deficit","Final"
"17.08.2023 08:00 - 17.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","96","","Deficit","Final"
"17.08.2023 09:00 - 17.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","71","","Deficit","Final"
"17.08.2023 10:00 - 17.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","117","","Deficit","Final"
"17.08.2023 11:00 - 17.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","51","","Deficit","Final"
"17.08.2023 12:00 - 17.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","68","","Deficit","Final"
"17.08.2023 13:00 - 17.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","93","","Deficit","Final"
"17.08.2023 14:00 - 17.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","72","","Deficit","Final"
"17.08.2023 15:00 - 17.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","64","","Deficit","Final"
"17.08.2023 16:00 - 17.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","170","","Deficit","Final"
"17.08.2023 17:00 - 17.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","182","","Deficit","Final"
"17.08.2023 18:00 - 17.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","223","","Deficit","Final"
"17.08.2023 19:00 - 17.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","185","","Deficit","Final"
"17.08.2023 20:00 - 17.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","233","","Deficit","Final"
"17.08.2023 21:00 - 17.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","179","","Deficit","Final"
"17.08.2023 22:00 - 17.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","226","","Deficit","Final"
"17.08.2023 23:00 - 18.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","107","","Deficit","Final"
"18.08.2023 00:00 - 18.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","172","","Deficit","Final"
"18.08.2023 01:00 - 18.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","315","","Deficit","Final"
"18.08.2023 02:00 - 18.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","224","","Deficit","Final"
"18.08.2023 03:00 - 18.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","188","","Deficit","Final"
"18.08.2023 04:00 - 18.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","272","","Deficit","Final"
"18.08.2023 05:00 - 18.08.2023 06:00","n/e","n/e","n/e","n/e","n/e","278","","Deficit","Final"
"18.08.2023 06:00 - 18.08.2023 07:00","n/e","n/e","n/e","n/e","n/e","25","","Deficit","Final"
"18.08.2023 07:00 - 18.08.2023 08:00","n/e","n/e","n/e","n/e","n/e","97","","Deficit","Final"
"18.08.2023 08:00 - 18.08.2023 09:00","n/e","n/e","n/e","n/e","n/e","128","","Deficit","Final"
"18.08.2023 09:00 - 18.08.2023 10:00","n/e","n/e","n/e","n/e","n/e","42","","Deficit","Final"
"18.08.2023 10:00 - 18.08.2023 11:00","n/e","n/e","n/e","n/e","n/e","35","","Deficit","Final"
"18.08.2023 11:00 - 18.08.2023 12:00","n/e","n/e","n/e","n/e","n/e","120","","Deficit","Final"
"18.08.2023 12:00 - 18.08.2023 13:00","n/e","n/e","n/e","n/e","n/e","191","","Deficit","Final"
"18.08.2023 13:00 - 18.08.2023 14:00","n/e","n/e","n/e","n/e","n/e","395","","Deficit","Final"
"18.08.2023 14:00 - 18.08.2023 15:00","n/e","n/e","n/e","n/e","n/e","197","","Deficit","Final"
"18.08.2023 15:00 - 18.08.2023 16:00","n/e","n/e","n/e","n/e","n/e","110","","Deficit","Final"
"18.08.2023 16:00 - 18.08.2023 17:00","n/e","n/e","n/e","n/e","n/e","475","","Deficit","Final"
"18.08.2023 17:00 - 18.08.2023 18:00","n/e","n/e","n/e","n/e","n/e","493","","Deficit","Final"
"18.08.2023 18:00 - 18.08.2023 19:00","n/e","n/e","n/e","n/e","n/e","522","","Deficit","Final"
"18.08.2023 19:00 - 18.08.2023 20:00","n/e","n/e","n/e","n/e","n/e","260","","Deficit","Final"
"18.08.2023 20:00 - 18.08.2023 21:00","n/e","n/e","n/e","n/e","n/e","151","","Deficit","Final"
"18.08.2023 21:00 - 18.08.2023 22:00","n/e","n/e","n/e","n/e","n/e","110","","Deficit","Final"
"18.08.2023 22:00 - 18.08.2023 23:00","n/e","n/e","n/e","n/e","n/e","222","","Deficit","Final"
"18.08.2023 23:00 - 19.08.2023 00:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"19.08.2023 00:00 - 19.08.2023 01:00","n/e","n/e","n/e","n/e","n/e","63","","Surplus","Final"
"19.08.2023 01:00 - 19.08.2023 02:00","n/e","n/e","n/e","n/e","n/e","20","","Deficit","Final"
"19.08.2023 02:00 - 19.08.2023 03:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"19.08.2023 03:00 - 19.08.2023 04:00","n/e","n/e","n/e","n/e","n/e","5","","Surplus","Final"
"19.08.2023 04:00 - 19.08.2023 05:00","n/e","n/e","n/e","n/e","n/e","73","","Surplus","Final"
